# (priority) meanTasklength meanRealWCLength meanProcWorkload meanProcRatio minProcRatio
tr 3966.7612 10005.553 9855.888 0.94477516 0.63414633
=pc 4 1656.9982 2456.41 2456.41 1.0 1.0
--job 100.0 652.5 652.5 1.0 1.0
--job 408.05 459.9 459.9 1.0 1.0
--job 66.625 298.0 298.0 1.0 1.0
--job 1224.875 1256.375 1256.375 1.0 1.0
--job 176.6875 389.125 389.125 1.0 1.0
--job 66.53125 157.07812 157.07812 1.0 1.0
--job 188.375 222.625 222.625 1.0 1.0
--job 620.75 907.625 907.625 1.0 1.0
--job 1146.0 8060.875 8060.875 1.0 1.0
--job 346.90103 469.71875 469.71875 1.0 1.0
--job 1235.0938 1261.7031 1261.7031 1.0 1.0
--job 1292.8125 1336.3125 1336.3125 1.0 1.0
--job 34.8125 70.6875 70.6875 1.0 1.0
--job 102.375 137.875 137.875 1.0 1.0
--job 107.0625 155.625 155.625 1.0 1.0
--job 3050.9375 8091.6875 8091.6875 1.0 1.0
--job 1221.5 1273.0 1273.0 1.0 1.0
--job 1227.625 1255.125 1255.125 1.0 1.0
--job 407.8125 548.575 548.575 1.0 1.0
--job 80.875 137.0625 137.0625 1.0 1.0
--job 433.6875 1181.0 1181.0 1.0 1.0
--job 704.625 7228.25 7228.25 1.0 1.0
--job 579.5 625.0 625.0 1.0 1.0
--job 278.75 421.375 421.375 1.0 1.0
--job 1282.75 1312.75 1312.75 1.0 1.0
--job 117.625 261.125 261.125 1.0 1.0
--job 68.375 99.5 99.5 1.0 1.0
--job 438.625 494.725 494.725 1.0 1.0
--job 29.25 85.0 85.0 1.0 1.0
--job 169.59375 209.6875 209.6875 1.0 1.0
--job 315.53125 366.07812 366.07812 1.0 1.0
--job 393.375 461.125 461.125 1.0 1.0
--job 278.625 349.125 349.125 1.0 1.0
--job 357.07144 582.5 582.5 1.0 1.0
--job 1704.7465 1928.8495 1928.8495 1.0 1.0
--job 310.125 489.3 489.3 1.0 1.0
--job 1699.5037 4033.402 4033.402 1.0 1.0
--job 268.75 4037.625 4037.625 1.0 1.0
--job 1223.8125 1241.3125 1241.3125 1.0 1.0
--job 234.75 632.5 632.5 1.0 1.0
--job 173.25 201.75 201.75 1.0 1.0
--job 356.79166 480.85 480.85 1.0 1.0
--job 1242.1875 1304.75 1304.75 1.0 1.0
--job 447.0 549.375 549.375 1.0 1.0
--job 16435.137 16523.9 16523.9 1.0 1.0
--job 110.125 138.625 138.625 1.0 1.0
--job 596.4 657.225 657.225 1.0 1.0
--job 1223.5 1279.25 1279.25 1.0 1.0
--job 101.125 129.375 129.375 1.0 1.0
--job 370.5625 445.5 445.5 1.0 1.0
--job 1218.25 1236.5625 1236.5625 1.0 1.0
--job 557.65625 1162.125 1162.125 1.0 1.0
--job 1216.625 1243.875 1243.875 1.0 1.0
--job 52.1875 171.375 171.375 1.0 1.0
--job 355.25 395.5 395.5 1.0 1.0
--job 1217.375 1265.0 1265.0 1.0 1.0
--job 28.875 479.875 479.875 1.0 1.0
--job 21834.188 76364.25 76364.25 1.0 1.0
--job 2783.289 5215.1875 5215.1875 1.0 1.0
--job 1246.0 1268.75 1268.75 1.0 1.0
--job 1215.2812 1241.7188 1241.7188 1.0 1.0
--job 2096.5 3898.875 3898.875 1.0 1.0
--job 381.375 425.9375 425.9375 1.0 1.0
--job 86.75 125.875 125.875 1.0 1.0
--job 1233.25 1288.125 1288.125 1.0 1.0
--job 3914.284 4757.8096 4757.8096 1.0 1.0
--job 222.75 259.73438 259.73438 1.0 1.0
--job 9080.95 9118.6 9118.6 1.0 1.0
--job 470.5357 721.875 721.875 1.0 1.0
--job 147.375 270.9375 270.9375 1.0 1.0
--job 3767.125 9006.1875 9006.1875 1.0 1.0
--job 60.375 116.75 116.75 1.0 1.0
--job 1229.125 1299.2812 1299.2812 1.0 1.0
--job 103.5 135.125 135.125 1.0 1.0
--job 422.925 491.125 491.125 1.0 1.0
