# (priority) meanTasklength meanRealWCLength meanProcWorkload meanProcRatio minProcRatio
tr 3966.7612 10085.471 9878.356 0.91757166 0.39384615
=pc 4 1656.9982 2515.6982 2434.7668 0.9152905 0.5075155
--job 100.0 667.5 633.9125 0.94968164 0.94968164
--job 408.05 470.3 442.62994 0.9407412 0.90064526
--job 66.625 304.0 272.08124 0.8950041 0.8950041
--job 1224.875 1286.375 1252.6875 0.97381204 0.97381204
--job 176.6875 397.125 361.39993 0.91004074 0.91004074
--job 66.53125 160.07812 131.25311 0.8199316 0.8199316
--job 188.375 226.625 197.07497 0.8696082 0.8696082
--job 620.75 929.625 897.4686 0.9654093 0.9654093
--job 1146.0 8257.875 8054.65 0.97539014 0.97539014
--job 346.90103 479.91876 436.07617 0.90855455 0.88242924
--job 1235.0938 1291.7031 1247.7969 0.966009 0.966009
--job 1292.8125 1368.3125 1305.3938 0.9540173 0.9540173
--job 34.8125 70.6875 35.875 0.5075155 0.5075155
--job 102.375 139.875 116.91249 0.8358355 0.8358355
--job 107.0625 158.625 142.79999 0.8940619 0.8115843
--job 3050.9375 8288.6875 8053.0146 0.9715669 0.9715669
--job 1221.5 1304.0 1272.6875 0.9759874 0.9759874
--job 1227.625 1285.125 1248.6875 0.9716467 0.9716467
--job 407.8125 560.775 515.10986 0.91765845 0.90247697
--job 80.875 139.5625 116.97812 0.83709955 0.6955324
--job 433.6875 1209.0 1168.456 0.9664649 0.9664649
--job 704.625 7405.25 7215.631 0.97439396 0.97439396
--job 579.5 640.0 615.3874 0.9615428 0.9615428
--job 278.75 430.375 386.86246 0.8988962 0.8988962
--job 1282.75 1343.75 1291.8938 0.96140933 0.96140933
--job 117.625 266.125 224.91249 0.84513855 0.84513855
--job 68.375 100.5 71.83124 0.71473867 0.71473867
--job 438.625 505.725 463.1624 0.9158462 0.9128974
--job 29.25 86.0 55.75 0.6482558 0.6482558
--job 169.59375 213.6875 202.91872 0.949605 0.949605
--job 315.53125 374.07812 335.49057 0.8968463 0.8968463
--job 393.375 471.125 434.10617 0.9214246 0.9214246
--job 278.625 356.125 314.73746 0.88378364 0.88378364
--job 357.07144 595.5 546.6511 0.9182712 0.90284026
--job 1704.7465 1975.3722 1913.3324 0.9680698 0.9553517
--job 310.125 500.7 478.4699 0.95585376 0.94951123
--job 1699.5037 4131.8022 4024.2334 0.97424686 0.96954477
--job 268.75 4135.625 4013.1125 0.9703763 0.9703763
--job 1223.8125 1271.3125 1238.6875 0.9743375 0.9743375
--job 234.75 646.5 601.2812 0.930056 0.930056
--job 173.25 205.75 191.32497 0.92989045 0.92989045
--job 356.79166 492.05 467.90366 0.95106363 0.94496554
--job 1242.1875 1335.75 1283.75 0.96107054 0.96107054
--job 447.0 561.375 509.4374 0.9074815 0.9074815
--job 16435.137 16928.7 16493.373 0.9740764 0.97319
--job 110.125 140.625 109.91249 0.78159994 0.78159994
--job 596.4 672.425 630.7124 0.9379282 0.93527305
--job 1223.5 1310.25 1276.9375 0.97457546 0.97457546
--job 101.125 131.375 109.66249 0.8347288 0.8347288
--job 370.5625 455.5 441.29367 0.9688116 0.9688116
--job 1218.25 1265.5625 1198.7937 0.9472418 0.9472418
--job 557.65625 1189.125 1105.1748 0.9294017 0.9294017
--job 1216.625 1272.875 1207.7312 0.94882154 0.94882154
--job 52.1875 174.375 148.41248 0.851111 0.851111
--job 355.25 403.5 365.89993 0.9068152 0.9068152
--job 1217.375 1295.0 1228.1062 0.9483445 0.9483445
--job 28.875 490.875 451.0 0.9187675 0.9187675
--job 21834.188 78239.25 76348.664 0.97583586 0.97583586
--job 2783.289 5342.1875 5199.9253 0.9733701 0.9733701
--job 1246.0 1298.75 1243.9375 0.957796 0.957796
--job 1215.2812 1270.7188 1206.9187 0.94979215 0.94979215
--job 2096.5 3993.875 3878.3948 0.97108567 0.97108567
--job 381.375 435.9375 410.91867 0.94260913 0.94260913
--job 86.75 127.875 120.53749 0.9426197 0.9426197
--job 1233.25 1319.125 1276.0625 0.96735525 0.96735525
--job 3914.284 4873.6094 4733.7563 0.94000465 0.899687
--job 222.75 264.73438 240.51558 0.90851665 0.90851665
--job 9080.95 9341.8 9098.843 0.95087826 0.91212815
--job 470.5357 738.275 690.00116 0.9350486 0.91887414
--job 147.375 276.9375 245.68123 0.887136 0.887136
--job 3767.125 9226.1875 8984.041 0.97375447 0.97375447
--job 60.375 118.75 97.08124 0.8175262 0.8175262
--job 1229.125 1330.2812 1291.3438 0.9707299 0.9707299
--job 103.5 137.125 113.03749 0.82433903 0.82433903
--job 422.925 502.125 475.2624 0.94650924 0.9324121
--job 119.875 186.625 145.16249 0.7778298 0.7778298
--job 542.75 837.25 804.68115 0.9611002 0.9611002
--job 95.8125 622.8594 594.45935 0.9544038 0.9544038
--job 1076.5625 6049.1875 5886.9873 0.97318643 0.97318643
--job 159.25 212.5 171.36873 0.80644107 0.80644107
--job 1237.25 1317.25 1270.1875 0.96427214 0.96427214
--job 46.5 102.375 94.58124 0.92387044 0.92387044
--job 206.625 261.875 252.7812 0.9652743 0.9652743
--job 65.0 120.75 94.45624 0.7822463 0.7822463
=pc 0 5901.2393 6755.3975 6572.062 0.87570983 0.44063324
--job 12.6171875 113.75 100.13281 0.8802885 0.8802885
--job 136.0 281.0 219.81952 0.78227586 0.78227586
--job 1232.6333 5127.6333 5002.361 0.97541404 0.93109345
--job 77.75 251.625 247.69452 0.9843796 0.9843796
--job 66.958336 316.375 266.13904 0.8412139 0.8412139
--job 113.625 426.125 384.31952 0.90189385 0.90189385
--job 55.5625 121.9375 66.375 0.54433626 0.54433626
--job 135.5625 473.9375 410.19452 0.86550343 0.86550343
--job 917.52 18551.875 17836.57 0.961406 0.9585821
--job 21.0 490.25 474.25 0.96698076 0.945981
--job 5427.107 15812.875 15556.594 0.9840903 0.9763883
--job 9.981618 50.294353 44.75605 0.88988006 0.5099715
--job 112.875 348.1875 308.13202 0.88496006 0.88496006
--job 1931.75 4817.5 4745.239 0.98500025 0.98500025
--job 117.875 294.125 250.06952 0.85021514 0.85021514
--job 3572.9375 18317.219 17946.875 0.9797814 0.97968435
--job 1098.0 1819.375 1773.8484 0.9749768 0.9749768
--job 2.5 115.625 112.125 0.9697297 0.9697297
--job 212.03125 454.92188 420.72577 0.9244065 0.8597324
--job 82.3125 157.5 151.00702 0.95877475 0.95877475
--job 95.5 254.625 232.94452 0.9148533 0.9148533
--job 30.5 62.46875 31.96875 0.5117559 0.5117559
--job 285.5 896.125 831.0836 0.9274193 0.9274193
--job 108.5 1208.0 1161.3196 0.9613573 0.9613573
--job 62.625 168.25 104.625 0.6218425 0.6218425
--job 31.1875 155.65625 123.46875 0.7932142 0.7932142
--job 3901.75 8310.75 8143.9785 0.979933 0.979933
--job 599.0 1554.5 1474.2367 0.9483671 0.9483671
