# (priority) meanTasklength meanRealWCLength meanProcWorkload meanProcRatio minProcRatio
tr 2579.4517 9996.035 9779.308 0.93411386 0.39384615
=pc 4 952.4605 2530.4834 2436.2969 0.9267249 0.6482558
--job 100.0 672.5 645.0859 0.9592355 0.9592355
--job 66.625 307.0 293.0989 0.95471954 0.95471954
--job 1224.875 1296.375 1235.1161 0.952746 0.952746
--job 176.6875 401.125 375.23154 0.9354479 0.9354479
--job 66.53125 161.07812 152.27078 0.9453225 0.9453225
--job 188.375 229.625 219.42175 0.95556563 0.95556563
--job 620.75 936.625 904.1142 0.9652894 0.9652894
--job 1146.0 8321.875 8056.767 0.9681432 0.9681432
--job 1235.0938 1301.7031 1261.0874 0.96879804 0.96879804
--job 1292.8125 1378.3125 1308.84 0.9495959 0.9495959
--job 34.8125 72.6875 66.73696 0.91813534 0.91813534
--job 102.375 141.875 128.08588 0.90280795 0.90280795
--job 3050.9375 8352.6875 8065.2246 0.9655844 0.9655844
--job 1221.5 1313.0 1255.1161 0.9559148 0.9559148
--job 1227.625 1294.125 1231.1161 0.9513116 0.9513116
--job 433.6875 1218.0 1146.898 0.9416239 0.9416239
--job 704.625 7461.25 7202.588 0.9653326 0.9653326
--job 579.5 644.0 601.0153 0.9332536 0.9332536
--job 278.75 434.375 420.38263 0.9677873 0.9677873
--job 1282.75 1353.75 1295.34 0.95685315 0.95685315
--job 117.625 268.125 236.08588 0.88050675 0.88050675
--job 68.375 102.5 92.848915 0.9058431 0.9058431
--job 29.25 86.0 55.75 0.6482558 0.6482558
--job 169.59375 215.6875 194.40355 0.9013204 0.9013204
--job 315.53125 377.07812 359.16647 0.95249885 0.95249885
--job 393.375 475.125 438.09354 0.92205954 0.92205954
--job 278.625 360.125 348.25763 0.9670465 0.9670465
--job 268.75 4167.625 4015.7708 0.9635634 0.9635634
--job 1223.8125 1280.3125 1221.1161 0.9537641 0.9537641
--job 234.75 651.5 613.7837 0.9421085 0.9421085
--job 173.25 206.75 182.8098 0.884207 0.884207
--job 1242.1875 1346.75 1297.0405 0.9630893 0.9630893
--job 447.0 566.375 534.4425 0.9436195 0.9436195
--job 110.125 141.625 121.08588 0.8549753 0.8549753
--job 1223.5 1319.25 1259.3661 0.9546076 0.9546076
--job 101.125 132.375 120.83588 0.91283005 0.91283005
--job 370.5625 459.5 445.28104 0.9690556 0.9690556
--job 1218.25 1275.5625 1221.9286 0.95795274 0.95795274
--job 557.65625 1198.125 1126.981 0.94062054 0.94062054
--job 1216.625 1282.875 1230.8661 0.9594591 0.9594591
--job 52.1875 175.375 128.72392 0.73399246 0.73399246
--job 355.25 407.5 379.73157 0.93185663 0.93185663
--job 1217.375 1305.0 1251.2411 0.95880544 0.95880544
--job 28.875 493.875 451.0 0.91318655 0.91318655
--job 21834.188 78837.25 76349.44 0.9684437 0.9684437
--job 2783.289 5383.1875 5209.4766 0.9677308 0.9677308
--job 1246.0 1308.75 1257.228 0.9606327 0.9606327
--job 1215.2812 1280.7188 1230.0536 0.96044004 0.96044004
--job 2096.5 4023.875 3870.1255 0.9617907 0.9617907
--job 381.375 438.9375 414.90604 0.9452508 0.9452508
--job 86.75 128.875 100.848915 0.7825328 0.7825328
--job 1233.25 1328.125 1258.4911 0.9475698 0.9475698
--job 222.75 267.73438 253.01808 0.94503397 0.94503397
--job 147.375 278.9375 247.01035 0.8855401 0.8855401
--job 3767.125 9297.1875 9004.227 0.9684893 0.9684893
--job 60.375 118.75 87.23696 0.73462707 0.73462707
--job 1229.125 1340.2812 1273.7723 0.9503769 0.9503769
--job 103.5 139.125 124.21088 0.89280057 0.89280057
--job 119.875 188.625 156.33588 0.82881844 0.82881844
--job 542.75 843.25 800.1534 0.94889224 0.94889224
--job 95.8125 627.8594 605.63275 0.9645994 0.9645994
--job 1076.5625 6095.1875 5877.9316 0.9643562 0.9643562
--job 159.25 214.5 203.5598 0.9489967 0.9489967
--job 1237.25 1327.25 1283.478 0.9670206 0.9670206
--job 46.5 102.375 84.73696 0.82771146 0.82771146
--job 206.625 262.875 234.42175 0.8917613 0.8917613
--job 65.0 121.75 115.473915 0.94845104 0.94845104
=pc 0 1220.8577 6760.3125 6516.17 0.91537195 0.5117559
--job 12.6171875 114.75 100.13281 0.8726171 0.8726171
--job 136.0 286.0 247.82233 0.86651164 0.86651164
--job 77.75 254.625 240.75655 0.9455338 0.9455338
--job 66.958336 320.375 252.26309 0.7873994 0.7873994
--job 113.625 432.125 412.32233 0.95417374 0.95417374
--job 55.5625 123.9375 101.31577 0.8174747 0.8174747
--job 135.5625 480.9375 438.19733 0.91113156 0.91113156
