# (priority) meanTasklength meanRealWCLength meanProcWorkload meanProcRatio minProcRatio
tr 3966.7612 9999.421 9874.548 0.94937813 0.74171114
=pc 4 1656.9982 2479.6763 2430.663 0.93902004 0.78817827
--job 100.0 669.5 624.7496 0.93315846 0.93315846
--job 408.05 474.3 446.04858 0.9399045 0.91566604
--job 66.625 309.0 280.20123 0.9068001 0.9068001
--job 1224.875 1280.375 1234.5559 0.9642143 0.9642143
--job 176.6875 407.125 371.09628 0.9115045 0.9115045
--job 66.53125 165.07812 143.72023 0.8706195 0.8706195
--job 188.375 231.625 203.05757 0.8766652 0.8766652
--job 620.75 927.625 883.35547 0.95227647 0.95227647
--job 1146.0 8123.875 8057.618 0.9918442 0.9918442
--job 346.90103 485.51874 459.0201 0.9454541 0.9368945
--job 1235.0938 1285.7031 1232.2137 0.9583968 0.9583968
--job 1292.8125 1361.3125 1335.9358 0.98135865 0.98135865
--job 34.8125 75.6875 59.655243 0.78817827 0.78817827
--job 102.375 145.875 135.13432 0.9263707 0.9263707
--job 107.0625 159.625 153.13785 0.9575309 0.91506183
--job 3050.9375 8153.6875 7966.669 0.9770633 0.9770633
--job 1221.5 1298.0 1262.4894 0.97264206 0.97264206
--job 1227.625 1279.125 1229.9578 0.9615618 0.9615618
--job 407.8125 565.175 531.3861 0.94117224 0.9155964
--job 80.875 140.5625 129.67043 0.92409706 0.84819406
--job 433.6875 1215.0 1172.7671 0.9652404 0.9652404
--job 704.625 7287.25 7124.801 0.97770774 0.97770774
--job 579.5 642.0 611.1855 0.9520023 0.9520023
--job 278.75 434.375 403.8964 0.9298334 0.9298334
--job 1282.75 1337.75 1310.9907 0.9799968 0.9799968
--job 117.625 272.125 257.76395 0.9472263 0.9472263
--job 68.375 105.5 87.55195 0.8298763 0.8298763
--job 438.625 508.925 471.2934 0.92609537 0.91189885
--job 29.25 91.0 81.82681 0.89919573 0.89919573
--job 169.59375 218.6875 203.92293 0.9324855 0.9324855
--job 315.53125 378.07812 348.1891 0.9209448 0.9209448
--job 393.375 475.125 432.17282 0.9095982 0.9095982
--job 278.625 361.125 334.7442 0.9269483 0.9269483
--job 357.07144 601.5 566.20233 0.9418532 0.9270787
--job 1704.7465 1951.6903 1905.7328 0.974494 0.9521209
--job 310.125 506.1 467.27115 0.92399615 0.9004325
--job 1699.5037 4060.0354 4005.3416 0.9882654 0.9738498
--job 268.75 4080.625 3948.5999 0.9676458 0.9676458
--job 1223.8125 1265.3125 1213.3225 0.95891136 0.95891136
--job 234.75 649.5 611.151 0.9409561 0.9409561
--job 173.25 210.75 189.19849 0.89773893 0.89773893
--job 356.79166 496.45 463.11514 0.93265325 0.92564064
--job 1242.1875 1329.75 1288.5607 0.9690248 0.9690248
--job 447.0 565.375 533.29114 0.9432521 0.9432521
--job 16435.137 16613.1 16425.465 0.9880172 0.98570836
--job 110.125 145.625 128.40495 0.88175076 0.88175076
--job 596.4 674.425 640.8776 0.9500333 0.94179773
--job 1223.5 1304.25 1269.7089 0.97351646 0.97351646
--job 101.125 136.375 124.764244 0.91486156 0.91486156
--job 370.5625 459.5 433.13293 0.9426179 0.9426179
--job 1218.25 1260.5625 1211.845 0.9613525 0.9613525
--job 557.65625 1195.125 1137.6912 0.9519432 0.9519432
--job 1216.625 1267.875 1224.306 0.96563625 0.96563625
--job 52.1875 183.375 158.63719 0.86509717 0.86509717
--job 355.25 408.5 377.74667 0.9247165 0.9247165
--job 1217.375 1289.0 1254.8031 0.9734702 0.9734702
--job 28.875 493.875 451.0 0.91318655 0.91318655
--job 21834.188 76558.25 76024.33 0.99302596 0.99302596
--job 2783.289 5265.1875 5189.386 0.98560333 0.98560333
--job 1246.0 1292.75 1231.7166 0.9527879 0.9527879
--job 1215.2812 1265.7188 1222.4559 0.96581954 0.96581954
--job 2096.5 3941.875 3833.3877 0.9724783 0.9724783
--job 381.375 439.9375 423.9921 0.9637553 0.9637553
--job 86.75 132.875 118.45816 0.8915007 0.8915007
--job 1233.25 1313.125 1273.0378 0.96947193 0.96947193
--job 3914.284 4791.409 4722.54 0.94787234 0.9233707
--job 222.75 269.73438 242.11108 0.89759076 0.89759076
--job 9080.95 9175.0 9031.725 0.9717175 0.95009005
--job 470.5357 742.875 697.00653 0.937784 0.9255214
--job 147.375 281.9375 263.23175 0.9336529 0.9336529
--job 3767.125 9073.1875 8996.948 0.9915973 0.9915973
--job 60.375 122.75 102.21712 0.832726 0.832726
--job 1229.125 1324.2812 1293.5824 0.9768185 0.9768185
--job 103.5 142.125 130.26071 0.91652215 0.91652215
