# (priority) meanTasklength meanRealWCLength meanProcWorkload meanProcRatio minProcRatio
tr 2579.4517 9883.08 9761.215 0.94821435 0.74171114
=pc 4 952.4605 2475.2297 2426.6306 0.93651265 0.78817827
--job 100.0 669.5 624.7496 0.93315846 0.93315846
--job 66.625 309.0 280.20123 0.9068001 0.9068001
--job 1224.875 1280.375 1234.5559 0.9642143 0.9642143
--job 176.6875 407.125 371.09628 0.9115045 0.9115045
--job 66.53125 165.07812 143.72023 0.8706195 0.8706195
--job 188.375 231.625 203.05757 0.8766652 0.8766652
--job 620.75 927.625 883.35547 0.95227647 0.95227647
--job 1146.0 8123.875 8057.618 0.9918442 0.9918442
--job 1235.0938 1285.7031 1232.2137 0.9583968 0.9583968
--job 1292.8125 1361.3125 1335.9358 0.98135865 0.98135865
--job 34.8125 75.6875 59.655243 0.78817827 0.78817827
--job 102.375 145.875 135.13432 0.9263707 0.9263707
--job 3050.9375 8153.6875 7966.669 0.9770633 0.9770633
--job 1221.5 1298.0 1262.4894 0.97264206 0.97264206
--job 1227.625 1279.125 1229.9578 0.9615618 0.9615618
--job 433.6875 1215.0 1172.7671 0.9652404 0.9652404
--job 704.625 7287.25 7124.801 0.97770774 0.97770774
--job 579.5 642.0 611.1855 0.9520023 0.9520023
--job 278.75 434.375 403.8964 0.9298334 0.9298334
--job 1282.75 1337.75 1310.9907 0.9799968 0.9799968
--job 117.625 272.125 257.76395 0.9472263 0.9472263
--job 68.375 105.5 87.55195 0.8298763 0.8298763
--job 29.25 91.0 81.82681 0.89919573 0.89919573
--job 169.59375 218.6875 203.92293 0.9324855 0.9324855
--job 315.53125 378.07812 348.1891 0.9209448 0.9209448
--job 393.375 475.125 432.17282 0.9095982 0.9095982
--job 278.625 361.125 334.7442 0.9269483 0.9269483
--job 268.75 4080.625 3948.5999 0.9676458 0.9676458
--job 1223.8125 1265.3125 1213.3225 0.95891136 0.95891136
--job 234.75 649.5 611.151 0.9409561 0.9409561
--job 173.25 210.75 189.19849 0.89773893 0.89773893
--job 1242.1875 1329.75 1288.5607 0.9690248 0.9690248
--job 447.0 565.375 533.29114 0.9432521 0.9432521
--job 110.125 145.625 128.40495 0.88175076 0.88175076
--job 1223.5 1304.25 1269.7089 0.97351646 0.97351646
--job 101.125 136.375 124.764244 0.91486156 0.91486156
--job 370.5625 459.5 433.13293 0.9426179 0.9426179
--job 1218.25 1260.5625 1211.845 0.9613525 0.9613525
--job 557.65625 1195.125 1137.6912 0.9519432 0.9519432
--job 1216.625 1267.875 1224.306 0.96563625 0.96563625
--job 52.1875 183.375 158.63719 0.86509717 0.86509717
--job 355.25 408.5 377.74667 0.9247165 0.9247165
--job 1217.375 1289.0 1254.8031 0.9734702 0.9734702
--job 28.875 493.875 451.0 0.91318655 0.91318655
--job 21834.188 76558.25 76024.33 0.99302596 0.99302596
--job 2783.289 5265.1875 5189.386 0.98560333 0.98560333
--job 1246.0 1292.75 1231.7166 0.9527879 0.9527879
--job 1215.2812 1265.7188 1222.4559 0.96581954 0.96581954
--job 2096.5 3941.875 3833.3877 0.9724783 0.9724783
--job 381.375 439.9375 423.9921 0.9637553 0.9637553
--job 86.75 132.875 118.45816 0.8915007 0.8915007
--job 1233.25 1313.125 1273.0378 0.96947193 0.96947193
--job 222.75 269.73438 242.11108 0.89759076 0.89759076
--job 147.375 281.9375 263.23175 0.9336529 0.9336529
--job 3767.125 9073.1875 8996.948 0.9915973 0.9915973
--job 60.375 122.75 102.21712 0.832726 0.832726
--job 1229.125 1324.2812 1293.5824 0.9768185 0.9768185
--job 103.5 142.125 130.26071 0.91652215 0.91652215
--job 119.875 192.625 178.7326 0.92787856 0.92787856
--job 542.75 837.25 801.3978 0.95717865 0.95717865
--job 95.8125 624.8594 582.8385 0.9327515 0.9327515
--job 1076.5625 5958.1875 5806.705 0.97457576 0.97457576
--job 159.25 217.5 192.19405 0.8836508 0.8836508
--job 1237.25 1310.25 1266.276 0.9664385 0.9664385
--job 46.5 106.375 96.38088 0.90604824 0.90604824
--job 206.625 266.875 252.847 0.9474361 0.9474361
--job 65.0 125.75 115.39414 0.91764724 0.91764724
=pc 0 1220.8577 6644.465 6504.328 0.92588365 0.81712765
--job 12.6171875 118.75 100.13281 0.8432237 0.8432237
--job 136.0 290.0 261.1101 0.90037966 0.90037966
--job 77.75 258.625 237.77231 0.91937095 0.91937095
--job 66.958336 332.375 285.9474 0.86031556 0.86031556
--job 113.625 434.125 394.56464 0.9088733 0.9088733
--job 55.5625 128.9375 113.22449 0.87813467 0.87813467
--job 135.5625 482.9375 455.874 0.94396067 0.94396067
--job 112.875 356.1875 336.2601 0.94405365 0.94405365
--job 1931.75 4803.5 4677.908 0.9738541 0.9738541
--job 117.875 302.125 269.76944 0.8929067 0.8929067
--job 1098.0 1825.375 1777.2871 0.9736559 0.9736559
--job 2.5 121.625 112.125 0.92189103 0.92189103
--job 82.3125 164.5 144.95471 0.8811837 0.8811837
--job 95.5 261.625 245.85794 0.9397341 0.9397341
--job 30.5 66.46875 54.32384 0.8172839 0.8172839
--job 285.5 906.125 853.2136 0.941607 0.941607
--job 108.5 1217.0 1182.1934 0.97139966 0.97139966
--job 62.625 175.25 159.49303 0.9100886 0.9100886
--job 31.1875 162.65625 141.05603 0.86720324 0.86720324
--job 3901.75 8267.75 8145.9883 0.9852727 0.9852727
--job 599.0 1561.5 1490.666 0.9546372 0.9546372
--job 407.3125 565.1875 539.5758 0.9546846 0.9546846
--job 86.57031 312.79688 288.931 0.9237017 0.9237017
--job 53.484375 165.9375 157.77174 0.95079017 0.95079017
--job 173.375 484.0 449.9221 0.9295911 0.9295911
--job 73.0 182.5 157.54462 0.8632582 0.8632582
--job 311.4375 1667.375 1605.0588 0.96262616 0.96262616
--job 221.375 570.6875 533.1562 0.9342349 0.9342349
--job 117.0 512.0 474.5833 0.92692053 0.92692053
--job 26.960938 196.57812 179.98615 0.915596 0.915596
--job 220.875 256.625 225.63307 0.87923265 0.87923265
--job 413.5 5575.25 5426.0854 0.9732452 0.9732452
--job 327.20312 481.51562 446.0953 0.92643994 0.92643994
--job 395.875 1038.375 982.36566 0.9460606 0.9460606
--job 214.875 602.5625 577.193 0.9578973 0.9578973
--job 65.875 300.625 271.88522 0.90439993 0.90439993
--job 246.0625 1539.625 1474.5096 0.957707 0.957707
--job 72.5 162.25 152.00667 0.936867 0.936867
--job 120.8125 451.125 434.58337 0.9633325 0.9633325
--job 218.5 752.625 707.779 0.9404139 0.9404139
--job 53.95703 329.77344 310.9718 0.9429862 0.9429862
--job 168.0 523.25 499.66296 0.9549221 0.9549221
--job 587.0 1150.0 1109.7158 0.9649703 0.9649703
--job 185.0 491.5 447.01538 0.90949214 0.90949214
--job 40.53125 137.39062 122.15682 0.8891205 0.8891205
--job 106.333336 731.25 663.33276 0.9071217 0.9071217
--job 17.125 186.375 161.25 0.86519116 0.86519116
--job 756.4948 20687.877 19697.688 0.95213675 0.95213675
--job 10079.164 13157.16 13024.82 0.9899416 0.9899416
--job 350.0 2518.875 2416.8608 0.95950013 0.95950013
--job 40.0 161.25 148.26428 0.9194684 0.9194684
--job 123.125 244.25 219.3493 0.8980524 0.8980524
--job 1405.5 2664.25 2601.5447 0.97646415 0.97646415
--job 825.0 1124.5 1075.7761 0.95667064 0.95667064
--job 261.1006 693.7344 671.9701 0.96862733 0.96862733
--job 3078.625 6670.25 6521.5254 0.9777033 0.9777033
--job 211.9375 565.85156 536.8847 0.9488084 0.9488084
--job 204.25 528.5 501.53107 0.9489708 0.9489708
--job 67.75 201.75 183.90247 0.9115364 0.9115364
--job 20.21875 128.91016 117.30615 0.9099838 0.9099838
--job 309.21875 688.9375 655.99 0.95217633 0.95217633
--job 82.0 188.0 172.68356 0.91852957 0.91852957
--job 59.101562 327.96875 307.14392 0.9365036 0.9365036
--job 3328.0 6717.75 6565.7197 0.9773689 0.9773689
--job 171.09375 618.4375 570.4707 0.92243874 0.92243874
--job 70.3125 360.8125 331.3252 0.9182753 0.9182753
--job 53.0 100.75 83.0477 0.8242948 0.8242948
--job 250.3125 303.0625 283.43677 0.93524194 0.93524194
--job 58.25 197.0 169.63443 0.86108845 0.86108845
--job 303.875 505.625 469.96133 0.9294662 0.9294662
--job 81.828125 159.46875 139.26102 0.87328094 0.87328094
--job 88.4375 228.4375 213.60623 0.93507516 0.93507516
--job 147.48438 338.58594 306.8877 0.90638053 0.90638053
--job 287.0 523.25 477.56155 0.9126833 0.9126833
--job 262.625 560.75 514.39 0.917325 0.917325
--job 34.75 250.125 227.28961 0.9087041 0.9087041
--job 203.4375 445.875 405.97928 0.91052264 0.91052264
--job 461.125 781.375 732.0601 0.936887 0.936887
--job 15.875 135.25 112.375 0.8308688 0.8308688
--job 392.5 3115.75 2996.08 0.96159196 0.96159196
--job 383.0 475.5 443.071 0.93180025 0.93180025
--job 110.85156 515.6875 484.76947 0.940045 0.940045
--job 138.8125 272.625 260.06046 0.95391273 0.95391273
--job 5.75 385.75 367.0 0.95139337 0.95139337
--job 90.961365 5438.8115 4729.0034 0.86949205 0.86949205
--job 64.125 298.5 271.3333 0.9089893 0.9089893
--job 105.8125 202.375 185.8923 0.9185537 0.9185537
--job 55.296875 150.48438 137.83055 0.9159127 0.9159127
--job 109.75 284.75 257.59488 0.90463525 0.90463525
--job 56.375 259.25 226.46277 0.87353045 0.87353045
--job 203.0 477.75 443.4793 0.92826647 0.92826647
--job 733.0 1833.75 1792.6992 0.97761375 0.97761375
--job 125.25 262.375 239.4582 0.9126563 0.9126563
--job 91.109375 486.21875 435.14468 0.8949566 0.8949566
--job 130.8125 589.4375 544.2216 0.9232898 0.9232898
--job 125.1875 244.91406 218.10416 0.8905334 0.8905334
--job 74.25 150.25 135.4685 0.9016207 0.9016207
--job 73.5 149.1875 134.90356 0.90425515 0.90425515
--job 104.0 533.0 510.56085 0.9579003 0.9579003
--job 62.75 147.0 127.4496 0.8670041 0.8670041
--job 715.5 1042.0 983.3273 0.9436922 0.9436922
--job 28.0 118.75 99.766655 0.8401402 0.8401402
--job 13.390625 136.17188 115.78125 0.8502582 0.8502582
--job 4972.75 15818.125 15723.746 0.9940335 0.9940335
--job 142.625 266.875 248.98134 0.93295115 0.93295115
--job 8.625 132.125 116.5 0.88174075 0.88174075
--job 9809.75 15055.75 14851.023 0.9864021 0.9864021
--job 108.375 475.125 443.8557 0.93418723 0.93418723
--job 117.875 807.5 751.09827 0.93015265 0.93015265
--job 254.75 5317.0 5171.0757 0.97255516 0.97255516
--job 169.875 431.25 392.98654 0.9112731 0.9112731
--job 142.1875 530.3125 501.5384 0.94574124 0.94574124
--job 85.0625 905.875 883.9493 0.9757961 0.9757961
--job 212.5 486.25 444.1463 0.91341144 0.91341144
--job 183.51562 492.48438 449.6433 0.9130103 0.9130103
--job 39.5 820.5625 762.0625 0.9287074 0.9287074
--job 14.875 304.125 278.25 0.91491985 0.91491985
--job 369.90625 1086.3125 1030.1825 0.9483298 0.9483298
--job 283.0 504.5 488.10077 0.9674941 0.9674941
--job 7175.0415 33007.5 32405.605 0.9817649 0.9817649
--job 175.75 419.4375 400.5427 0.95495206 0.95495206
--job 136.25 257.25 244.42413 0.9501424 0.9501424
--job 285.0 710.125 668.75165 0.94173795 0.94173795
--job 706.25 1097.625 1065.0986 0.9703666 0.9703666
--job 88.1875 368.875 347.72345 0.9426593 0.9426593
--job 48.296875 171.8125 151.71646 0.88303506 0.88303506
--job 18.0 104.5 94.53567 0.9046475 0.9046475
--job 50.28125 181.5625 148.35974 0.81712765 0.81712765
--job 135.5 647.5 602.1998 0.93003833 0.93003833
--job 100.5 265.625 245.56836 0.92449266 0.92449266
--job 11.0 280.9375 258.9375 0.92169076 0.92169076
--job 50.0625 237.5625 220.16731 0.92677635 0.92677635
--job 381.75 816.6875 775.41675 0.9494657 0.9494657
--job 50.875 128.625 117.53943 0.9138148 0.9138148
--job 96.25 452.25 430.81723 0.9526086 0.9526086
--job 15.75 103.5 95.71424 0.9247753 0.9247753
--job 3034.6562 11556.375 11267.671 0.9750178 0.9750178
--job 111.875 215.0625 195.69182 0.90993 0.90993
--job 1509.625 5470.375 5367.281 0.9811541 0.9811541
--job 3307.5 6425.5 6335.1484 0.9859386 0.9859386
--job 10.0 92.25 77.25 0.83739835 0.83739835
--job 367.625 1580.0 1486.4373 0.9407831 0.9407831
--job 49.25 133.875 125.4136 0.93679625 0.93679625
--job 71.359375 161.09375 151.72723 0.94185674 0.94185674
--job 194.0625 553.75 508.81396 0.9188514 0.9188514
--job 89.625 584.0 545.7842 0.93456197 0.93456197
--job 105.875 276.875 253.41212 0.9152582 0.9152582
--job 209.0 461.0 418.59955 0.908025 0.908025
--job 344.25 1172.0 1140.3123 0.9729627 0.9729627
--job 55.0 1228.0 1198.0714 0.9756282 0.9756282
--job 64.28125 166.01562 147.06618 0.88585746 0.88585746
--job 244.75 722.5 684.9699 0.94805527 0.94805527
--job 89.7975 4921.874 4260.209 0.86556643 0.86556643
--job 454.75 890.25 833.9326 0.9367398 0.9367398
--job 315.125 705.0 668.41504 0.94810647 0.94810647
--job 58.3125 131.4375 113.45232 0.8631655 0.8631655
--job 86.0 209.875 195.0498 0.92936176 0.92936176
--job 1078.125 4716.875 4540.5444 0.9626171 0.9626171
--job 15.2109375 118.71875 111.455635 0.93882084 0.93882084
--job 14.859375 303.03125 277.17188 0.9146643 0.9146643
--job 68.3125 200.4375 181.82657 0.9071485 0.9071485
--job 14113.75 21292.625 21075.842 0.9898189 0.9898189
--job 805.5156 1045.2812 988.2035 0.9453948 0.9453948
--job 84.75 305.0625 282.06635 0.92461824 0.92461824
--job 79.921875 3861.2188 3739.2969 0.96842396 0.96842396
--job 92.0 201.625 179.13614 0.88846195 0.88846195
--job 282.15 4518.875 4350.0195 0.9626333 0.9626333
--job 45.125 302.25 270.26004 0.89416057 0.89416057
--job 1061.125 2431.375 2374.912 0.9767774 0.9767774
--job 76.6875 525.125 497.3202 0.94705105 0.94705105
--job 315.875 742.625 713.3021 0.96051455 0.96051455
--job 17.882812 216.35547 189.47266 0.875747 0.875747
--job 278.5 671.75 629.5591 0.93719256 0.93719256
--job 31.375 204.75 184.16136 0.899445 0.899445
--job 114.375 447.84375 408.94012 0.91313124 0.91313124
--job 34.992188 102.76953 89.60101 0.8718636 0.8718636
--job 504.32812 971.40625 925.6594 0.9529066 0.9529066
--job 75.625 173.0 162.0386 0.9366393 0.9366393
--job 24.90625 194.4375 173.14583 0.8904961 0.8904961
--job 13.6875 123.125 107.02205 0.8692146 0.8692146
--job 35.339844 105.1875 92.01679 0.8747883 0.8747883
--job 1114.875 6384.875 6183.016 0.96838486 0.96838486
--job 76.5 186.25 176.06268 0.945303 0.945303
--job 94.69531 599.8125 557.45825 0.9293875 0.9293875
--job 117.75 398.125 378.38852 0.9504264 0.9504264
--job 118.96875 321.08594 290.7302 0.9054591 0.9054591
--job 106.75 205.5625 188.9494 0.91918224 0.91918224
--job 88.75 184.0 162.29666 0.88204706 0.88204706
--job 93.5 297.375 264.67157 0.8900263 0.8900263
--job 189.19643 3095.7498 2901.3428 0.937202 0.937202
--job 101.25 186.75 170.77353 0.91444993 0.91444993
--job 77.3125 565.125 506.13245 0.8956115 0.8956115
--job 162.875 653.875 616.75854 0.9432362 0.9432362
--job 2638.0073 57005.375 55677.137 0.97669977 0.97669977
--job 77.19922 245.69531 228.18344 0.92872524 0.92872524
--job 57.283203 564.3301 525.19293 0.9306485 0.9306485
--job 19.875 478.125 444.25 0.92915034 0.92915034
--job 213.25 418.125 391.1292 0.93543607 0.93543607
--job 233.45312 760.5703 739.1865 0.97188455 0.97188455
--job 33.34375 82.32031 68.84747 0.8363364 0.8363364
--job 56.589844 127.69922 110.72038 0.8670404 0.8670404
--job 908.5 2780.5002 2688.8174 0.9670265 0.9670265
--job 11272.682 610639.75 604827.75 0.9904821 0.9904821
--job 25.140625 5211.625 5136.4844 0.9855821 0.9855821
--job 22.25 116.75 103.38287 0.8855064 0.8855064
--job 24.625 111.0 94.86638 0.85465205 0.85465205
--job 256.0 565.0 526.16376 0.93126327 0.93126327
--job 137.25 336.625 314.77692 0.9350967 0.9350967
--job 1565.25 4862.25 4720.8735 0.97092366 0.97092366
--job 5.125 84.875 74.75 0.8807069 0.8807069
--job 92.92673 8720.125 7504.1074 0.86055046 0.86055046
--job 34.75 147.875 138.57645 0.9371188 0.9371188
--job 34.04297 177.14844 149.62193 0.8446133 0.8446133
--job 74.390625 155.05469 141.26253 0.9110497 0.9110497
--job 405.375 538.375 506.2422 0.9403152 0.9403152
--job 918.625 1001.125 946.9943 0.9459301 0.9459301
--job 55.25 609.25 572.4456 0.9395907 0.9395907
--job 331.09375 682.4375 661.42737 0.9692131 0.9692131
--job 40.28125 173.21875 161.29338 0.9311543 0.9311543
--job 37.875 386.375 362.82672 0.9390533 0.9390533
--job 429.58334 3979.875 3840.6543 0.9650188 0.9650188
--job 9.5 94.75 80.25 0.8469657 0.8469657
--job 67.875 230.75 215.9107 0.93569106 0.93569106
--job 184.125 382.75 350.008 0.9144559 0.9144559
--job 1429.0 5487.25 5362.7764 0.97731584 0.97731584
--job 187.75 391.5 357.04974 0.9120045 0.9120045
--job 760.5 1099.0 1059.0791 0.96367526 0.96367526
--job 977.71875 27723.752 26632.41 0.9606351 0.9606351
--job 7825.25 18777.5 18588.05 0.98991084 0.98991084
--job 673.25 5309.25 5201.3584 0.9796786 0.9796786
--job 95.75 193.875 167.24829 0.8626604 0.8626604
--job 324.25 669.0 616.6376 0.9217303 0.9217303
--job 662.517 18329.252 17478.545 0.9535875 0.9535875
--job 215.0 2622.125 2547.854 0.9716753 0.9716753
--job 370.5703 436.6172 402.33444 0.921481 0.921481
--job 110.0 293.75 267.87097 0.9119012 0.9119012
--job 84.0 380.75 365.1103 0.95892394 0.95892394
--job 68.3125 181.625 161.21643 0.8876335 0.8876335
--job 273.375 767.5703 746.04565 0.9719574 0.9719574
--job 32.625 175.125 152.7825 0.8724197 0.8724197
--job 89.042305 6277.375 5459.984 0.86978775 0.86978775
--job 226.25 621.25 587.7534 0.94608194 0.94608194
--job 112.921875 229.28125 211.0688 0.9205672 0.9205672
--job 95.45 615.625 545.32776 0.88581157 0.88581157
--job 288.25 612.5 584.5686 0.95439774 0.95439774
--job 1481.25 1599.5 1549.3381 0.968639 0.968639
--job 93.629166 9105.127 7849.8486 0.862135 0.862135
--job 109.8125 278.01562 250.81252 0.9021526 0.9021526
--job 129.875 385.625 353.0935 0.9156396 0.9156396
--job 192.23438 463.95312 437.70938 0.9434345 0.9434345
--job 85.208336 614.5 524.1064 0.8528989 0.8528989
--job 121.875 261.6875 241.9926 0.9247389 0.9247389
--job 298.16797 1092.6875 1019.27185 0.93281186 0.93281186
--job 4691.7124 656784.2 646150.0 0.9838087 0.9838087
--job 291.25 341.25 320.2738 0.9385313 0.9385313
--job 83.375 112.3125 95.84583 0.85338527 0.85338527
