# (priority) meanTasklength meanRealWCLength meanProcWorkload meanProcRatio minProcRatio
tr 2579.4517 9933.724 9782.504 0.9379311 0.6325331
=pc 4 952.4605 2489.0806 2431.8481 0.9298134 0.8283746
--job 100.0 698.5 651.49493 0.9327057 0.9327057
--job 66.625 323.0 289.09198 0.8950216 0.8950216
--job 1224.875 1280.375 1219.3788 0.9523607 0.9523607
--job 176.6875 408.125 374.1189 0.91667724 0.91667724
--job 66.53125 169.07812 148.22324 0.8766553 0.8766553
--job 188.375 232.625 208.94044 0.8981857 0.8981857
--job 620.75 932.625 885.8687 0.94986594 0.94986594
--job 1146.0 8227.875 8015.996 0.97424865 0.97424865
--job 1235.0938 1285.7031 1219.4329 0.948456 0.948456
--job 1292.8125 1361.3125 1314.726 0.96577823 0.96577823
--job 34.8125 78.6875 69.25164 0.8800844 0.8800844
--job 102.375 146.875 135.66362 0.9236672 0.9236672
--job 3050.9375 8194.6875 8087.216 0.9868852 0.9868852
--job 1221.5 1298.0 1237.7411 0.95357555 0.95357555
--job 1227.625 1279.125 1216.7117 0.9512062 0.9512062
--job 433.6875 1220.0 1167.7107 0.9571399 0.9571399
--job 704.625 7419.25 7199.3447 0.97036016 0.97036016
--job 579.5 643.0 624.2496 0.97083914 0.97083914
--job 278.75 438.375 402.3508 0.9178233 0.9178233
--job 1282.75 1337.75 1296.269 0.968992 0.968992
--job 117.625 277.125 250.86502 0.9052414 0.9052414
--job 68.375 106.5 89.59508 0.84126836 0.84126836
--job 29.25 95.0 78.69559 0.8283746 0.8283746
--job 169.59375 220.6875 205.84714 0.932754 0.932754
--job 315.53125 380.07812 351.99838 0.9261211 0.9261211
--job 393.375 477.125 460.43698 0.9650238 0.9650238
--job 278.625 362.125 330.16757 0.91175026 0.91175026
--job 268.75 4210.625 4023.8994 0.9556537 0.9556537
--job 1223.8125 1265.3125 1204.8633 0.95222586 0.95222586
--job 234.75 660.5 614.4295 0.93024904 0.93024904
--job 173.25 211.75 196.03058 0.92576426 0.92576426
--job 1242.1875 1329.75 1258.8066 0.9466491 0.9466491
--job 447.0 566.375 520.9728 0.9198372 0.9198372
--job 110.125 146.625 132.38574 0.90288657 0.90288657
--job 1223.5 1304.25 1242.9618 0.95300883 0.95300883
--job 101.125 137.375 127.80025 0.9303021 0.9303021
--job 370.5625 460.5 428.84445 0.9312583 0.9312583
--job 1218.25 1260.5625 1202.9745 0.9543156 0.9543156
--job 557.65625 1195.125 1115.494 0.9333702 0.9333702
--job 1216.625 1267.875 1211.1218 0.95523757 0.95523757
--job 52.1875 186.375 158.94768 0.852838 0.852838
--job 355.25 409.5 386.76773 0.94448775 0.94448775
--job 1217.375 1289.0 1231.8615 0.9556722 0.9556722
--job 28.875 541.875 473.79803 0.8743678 0.8743678
--job 21834.188 76728.25 76262.94 0.9939356 0.9939356
--job 2783.289 5284.1875 5192.451 0.9826395 0.9826395
--job 1246.0 1292.75 1220.8282 0.9443653 0.9443653
--job 1215.2812 1265.7188 1209.6552 0.9557061 0.9557061
--job 2096.5 3957.875 3874.4836 0.9789303 0.9789303
--job 381.375 439.9375 403.59558 0.91739297 0.91739297
--job 86.75 133.875 118.15663 0.8825892 0.8825892
--job 1233.25 1313.125 1246.8079 0.9494967 0.9494967
--job 222.75 270.73438 248.05309 0.9162231 0.9162231
--job 147.375 285.9375 260.9088 0.91246796 0.91246796
--job 3767.125 9109.1875 8971.465 0.9848809 0.9848809
--job 60.375 126.75 111.31815 0.8782497 0.8782497
--job 1229.125 1324.2812 1260.094 0.9515305 0.9515305
--job 103.5 144.125 132.33746 0.9182131 0.9182131
--job 119.875 194.625 172.13704 0.8844549 0.8844549
--job 542.75 842.25 802.6508 0.95298404 0.95298404
--job 95.8125 651.8594 596.10406 0.9144673 0.9144673
--job 1076.5625 6032.1875 5895.866 0.977401 0.977401
--job 159.25 218.5 192.02257 0.87882185 0.87882185
--job 1237.25 1310.25 1242.8643 0.9485703 0.9485703
--job 46.5 109.375 92.4496 0.84525347 0.84525347
--job 206.625 267.875 252.53552 0.94273645 0.94273645
--job 65.0 127.75 110.75877 0.8669963 0.8669963
=pc 0 1220.8577 6672.1895 6519.062 0.91437775 0.6904819
--job 12.6171875 133.75 110.17958 0.82377255 0.82377255
--job 136.0 295.0 274.9394 0.93199795 0.93199795
--job 77.75 267.625 245.6948 0.9180562 0.9180562
--job 66.958336 337.375 286.08356 0.84796906 0.84796906
--job 113.625 448.125 413.02368 0.9216707 0.9216707
--job 55.5625 132.9375 119.08292 0.8957812 0.8957812
--job 135.5625 496.9375 465.102 0.93593657 0.93593657
--job 112.875 366.1875 336.48737 0.91889364 0.91889364
--job 1931.75 4832.5 4751.619 0.98326313 0.98326313
--job 117.875 309.125 280.72906 0.90814096 0.90814096
--job 1098.0 1833.375 1776.1896 0.96880865 0.96880865
--job 2.5 165.625 114.36107 0.6904819 0.6904819
--job 82.3125 167.5 151.17126 0.902515 0.902515
--job 95.5 268.625 239.04666 0.88988984 0.88988984
--job 30.5 69.46875 55.399498 0.79747367 0.79747367
--job 285.5 922.125 863.4767 0.93639874 0.93639874
--job 108.5 1273.0 1187.6165 0.9329273 0.9329273
--job 62.625 181.25 160.58258 0.88597286 0.88597286
--job 31.1875 172.65625 147.16211 0.85234165 0.85234165
--job 3901.75 8296.75 8189.8457 0.9871149 0.9871149
--job 599.0 1579.5 1524.9062 0.96543604 0.96543604
--job 407.3125 567.1875 541.4579 0.9546365 0.9546365
--job 86.57031 323.79688 294.17633 0.90852123 0.90852123
--job 53.484375 172.9375 156.16597 0.9030197 0.9030197
--job 173.375 494.0 464.21603 0.9397086 0.9397086
--job 73.0 188.5 173.99828 0.92306775 0.92306775
--job 311.4375 1682.3749 1583.531 0.9412474 0.9412474
--job 221.375 579.6875 543.72876 0.93796873 0.93796873
--job 117.0 528.0 487.0794 0.9224989 0.9224989
--job 26.960938 211.57812 182.64664 0.8632586 0.8632586
--job 220.875 257.625 235.92851 0.9157827 0.9157827
--job 413.5 5715.25 5513.3564 0.9646746 0.9646746
--job 327.20312 484.51562 447.28885 0.92316705 0.92316705
--job 395.875 1053.375 1015.43274 0.9639803 0.9639803
--job 214.875 613.5625 578.9916 0.94365543 0.94365543
--job 65.875 313.625 281.1412 0.8964247 0.8964247
--job 246.0625 1567.625 1475.3618 0.9411446 0.9411446
--job 72.5 166.25 153.99957 0.9263132 0.9263132
--job 120.8125 464.125 425.12253 0.9159656 0.9159656
--job 218.5 768.625 725.1704 0.9434645 0.9434645
--job 53.95703 340.77344 298.3529 0.8755169 0.8755169
--job 168.0 535.25 505.22275 0.9439005 0.9439005
--job 587.0 1159.0 1122.4825 0.96849227 0.96849227
--job 185.0 501.5 465.61847 0.9284516 0.9284516
--job 40.53125 143.39062 125.87326 0.8778347 0.8778347
--job 106.333336 747.25006 673.912 0.90185606 0.90185606
--job 17.125 207.375 172.9547 0.834019 0.834019
--job 756.4948 20716.875 19827.99 0.95709366 0.95709366
--job 10079.164 13168.16 12936.602 0.98241526 0.98241526
--job 350.0 2577.875 2478.8228 0.961576 0.961576
--job 40.0 169.25 149.02708 0.8805145 0.8805145
--job 123.125 248.25 220.97148 0.89011675 0.89011675
--job 1405.5 2678.25 2602.2407 0.9716198 0.9716198
--job 825.0 1128.5 1089.9037 0.96579856 0.96579856
--job 261.1006 704.7344 666.0027 0.9450407 0.9450407
--job 3078.625 6672.25 6475.0522 0.9704451 0.9704451
--job 211.9375 575.85156 543.7963 0.9443342 0.9443342
--job 204.25 538.5 511.36383 0.94960785 0.94960785
--job 67.75 207.75 183.20224 0.88183993 0.88183993
--job 20.21875 139.91016 120.768555 0.8631865 0.8631865
--job 309.21875 697.9375 661.13965 0.9472763 0.9472763
--job 82.0 192.0 173.8375 0.9054036 0.9054036
--job 59.101562 343.96875 311.2278 0.9048142 0.9048142
--job 3328.0 6741.75 6597.1216 0.97854733 0.97854733
--job 171.09375 626.4375 586.21954 0.93579894 0.93579894
--job 70.3125 376.8125 337.79272 0.8964478 0.8964478
--job 53.0 103.75 93.22815 0.89858454 0.89858454
--job 250.3125 304.0625 287.87115 0.9467499 0.9467499
--job 58.25 206.0 184.71759 0.8966873 0.8966873
--job 303.875 510.625 483.58102 0.9470375 0.9470375
--job 81.828125 162.46875 146.39755 0.9010813 0.9010813
--job 88.4375 233.4375 209.79662 0.8987271 0.8987271
--job 147.48438 344.58594 316.49878 0.9184901 0.9184901
--job 287.0 529.25 485.79126 0.9178862 0.9178862
--job 262.625 568.75 535.2267 0.9410579 0.9410579
--job 34.75 268.125 238.72166 0.8903372 0.8903372
